,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age
93,"Data Scientist, Mid",Employer Provided Salary:$73K - $166K,4.2,"Booz Allen Hamilton
4.2","Washington, DC",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),0,1,73.0,166.0,119.5,"Booz Allen Hamilton
", DC,109
94,Junior Data Scientist,Employer Provided Salary:$80K - $100K,3.2,"Club Quarters
3.2","Stamford, CT",501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,Unknown / Non-Applicable,0,1,80.0,100.0,90.0,"Club Quarters
", CT,-1
95,Data Scientist,Employer Provided Salary:$81K - $151K,2.7,"Argo Data
2.7","Richardson, TX",201 to 500 Employees,1980,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),0,1,81.0,151.0,116.0,"Argo Data
", TX,43
96,Marketing Data Scientist,$88K - $120K (Glassdoor est.),3.9,"Brunswick Corporation
3.9","Mettawa, IL",10000+ Employees,1845,Company - Public,Consumer Product Manufacturing,Manufacturing,$1 to $5 billion (USD),0,0,88.0,120.0,104.0,"Brunswick Corporation
", IL,178
97,"Data Scientist II, Cardiology",$104K - $137K (Glassdoor est.),3.9,"UT Southwestern
3.9","Dallas, TX",10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,0,104.0,137.0,120.5,"UT Southwestern
", TX,80
98,Data Scientist,Employer Provided Salary:$64K - $85K,4.2,"University of Kansas
4.2","Lawrence, KS",10000+ Employees,-1,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),0,1,64.0,85.0,74.5,"University of Kansas
", KS,-1
99,Data Scientist (All Levels),Employer Provided Salary:$84K - $147K,4.4,"Noblis
4.4","Reston, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,1,84.0,147.0,115.5,"Noblis
", VA,27
100,Data Scientist,Employer Provided Salary:$61K - $147K,3.9,"PayPal
3.9","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,1,61.0,147.0,104.0,"PayPal
", CA,25
101,Data Scientist I - Energy Applications,Employer Provided Salary:$136K,4.0,"Pacific Northwest National Laboratory
4.0",United States,5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),0,1,136.0,136.0,136.0,"Pacific Northwest National Laboratory
",remote,58
102,Humanities Data Scientist,Employer Provided Salary:$112K - $172K,3.5,"US National Endowment for the Humanities
3.5","Washington, DC",1 to 50 Employees,-1,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$1 to $5 million (USD),0,1,112.0,172.0,142.0,"US National Endowment for the Humanities
", DC,-1
103,Data Scientist,$90K - $124K (Glassdoor est.),4.2,"Yale University
4.2","New Haven, CT",10000+ Employees,1701,Nonprofit Organization,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,90.0,124.0,107.0,"Yale University
", CT,322
104,"Data Scientist, Product Analytics",Employer Provided Salary:$109K - $166K,3.9,"Facebook App
3.9",Remote,10000+ Employees,2004,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,1,109.0,166.0,137.5,"Facebook App
",remote,19
105,Healthcare Data Scientist - Analytics,$79K - $111K (Glassdoor est.),3.3,"University of Maryland Medical System
3.3","Linthicum Heights, MD",10000+ Employees,1984,Self-employed,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,0,79.0,111.0,95.0,"University of Maryland Medical System
", MD,39
106,Part-Time Data Scientist,Employer Provided Salary:$28.52 Per Hour,4.2,"ORAU
4.2","Research Triangle Park, NC",501 to 1000 Employees,1946,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $100 million (USD),1,1,28.52,28.52,28.52,"ORAU
", NC,77
107,"Data Scientist, Product Analytics",Employer Provided Salary:$130K - $140K,4.5,"Gametime United, Inc.
4.5",Remote,51 to 200 Employees,2013,Company - Private,Ticket Sales,"Arts, Entertainment & Recreation",$25 to $100 million (USD),0,1,130.0,140.0,135.0,"Gametime United, Inc.
",remote,10
108,Junior Data Scientist,Employer Provided Salary:$112K - $179K,3.6,"Peraton
3.6","Columbia, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,1,112.0,179.0,145.5,"Peraton
", MD,6
109,Data Scientist,Employer Provided Salary:$112K - $146K,4.2,"US Cybersecurity and Infrastructure Security Agency
4.2","Arlington, VA",Unknown,-1,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,1,112.0,146.0,129.0,"US Cybersecurity and Infrastructure Security Agency
", VA,-1
110,DATA SCIENTIST,Employer Provided Salary:$112K - $146K,3.9,"US United States Army Medical Logistics Command
3.9","Fort Detrick, MD",5001 to 10000 Employees,-1,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,1,112.0,146.0,129.0,"US United States Army Medical Logistics Command
", MD,-1
111,Part-time Data Analyst,Employer Provided Salary:$40.00 - $42.00 Per Hour,4.1,"Advocates for Human Potential, Inc.
4.1",Remote,1 to 50 Employees,-1,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),1,1,40.0,42.0,41.0,"Advocates for Human Potential, Inc.
",remote,-1
112,"Data Scientist, Mid",Employer Provided Salary:$73K - $166K,4.2,"Booz Allen Hamilton
4.2","Washington, DC",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),0,1,73.0,166.0,119.5,"Booz Allen Hamilton
", DC,109
113,Data Scientist - All Levels,$65K - $109K (Glassdoor est.),4.7,"Interclypse Inc
4.7","San Antonio, TX",51 to 200 Employees,2007,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),0,0,65.0,109.0,87.0,"Interclypse Inc
", TX,16
114,Data Scientist,Employer Provided Salary:$40.00 - $50.00 Per Hour,5.0,"Aurora Technical Systems, LLC
5.0",Remote,1 to 50 Employees,-1,Company - Private,#N/A,#N/A,Unknown / Non-Applicable,1,1,40.0,50.0,45.0,"Aurora Technical Systems, LLC
",remote,-1
115,Data Scientist,Employer Provided Salary:$64K - $85K,4.2,"University of Kansas
4.2","Lawrence, KS",10000+ Employees,-1,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),0,1,64.0,85.0,74.5,"University of Kansas
", KS,-1
116,Data Scientist,Employer Provided Salary:$81K - $122K,3.8,"Sky Ridge Medical Center
3.8","Lone Tree, CO",501 to 1000 Employees,2003,Hospital,Health Care Services & Hospitals,Healthcare,Less than $1 million (USD),0,1,81.0,122.0,101.5,"Sky Ridge Medical Center
", CO,20
117,Data Scientist,Employer Provided Salary:$81K - $122K,3.8,"Sky Ridge Medical Center
3.8","Lone Tree, CO",501 to 1000 Employees,2003,Hospital,Health Care Services & Hospitals,Healthcare,Less than $1 million (USD),0,1,81.0,122.0,101.5,"Sky Ridge Medical Center
", CO,20
118,Data Scientist- All levels,$79K - $118K (Glassdoor est.),4.7,"WarCollar Industries
4.7","Fort Meade, MD",1 to 50 Employees,-1,Company - Private,#N/A,#N/A,Unknown / Non-Applicable,0,0,79.0,118.0,98.5,"WarCollar Industries
", MD,-1
119,Data Scientist Position,$96K - $138K (Glassdoor est.),4.5,"Princeton University
4.5","Princeton, NJ",5001 to 10000 Employees,1746,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,0,96.0,138.0,117.0,"Princeton University
", NJ,277
120,Data Scientist,$88K - $132K (Glassdoor est.),-1.0,Integrated Systems Solutions,"Silver Spring, MD",51 to 200 Employees,2004,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),0,0,88.0,132.0,110.0,Integrated Systems Solutions, MD,19
121,Data Scientist,Employer Provided Salary:$81K - $151K,2.7,"Argo Data
2.7","Richardson, TX",201 to 500 Employees,1980,Company - Private,Computer Hardware Development,Information Technology,$25 to $100 million (USD),0,1,81.0,151.0,116.0,"Argo Data
", TX,43
122,Sr Data Scientist,$115K - $163K (Glassdoor est.),4.7,"Voloridge Investment Management
4.7","Jupiter, FL",51 to 200 Employees,2009,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,0,115.0,163.0,139.0,"Voloridge Investment Management
", FL,14
123,"Senior Data Scientist, Machine Learning (NLP)",$140K - $189K (Glassdoor est.),3.5,"Discord
3.5","San Francisco, CA",501 to 1000 Employees,2015,Company - Private,Internet & Web Services,Information Technology,$25 to $100 million (USD),0,0,140.0,189.0,164.5,"Discord
", CA,8
124,Data Scientist,Employer Provided Salary:$132K - $172K,3.4,"US Federal Retirement Thrift Investment Board
3.4","Washington, DC",51 to 200 Employees,-1,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,1,132.0,172.0,152.0,"US Federal Retirement Thrift Investment Board
", DC,-1
125,Associate Data Scientist,$82K - $108K (Glassdoor est.),3.2,"WALGREENS
3.2","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD),0,0,82.0,108.0,95.0,"WALGREENS
", IL,122
126,Humanities Data Scientist,Employer Provided Salary:$112K - $172K,3.5,"US National Endowment for the Humanities
3.5","Washington, DC",1 to 50 Employees,-1,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$1 to $5 million (USD),0,1,112.0,172.0,142.0,"US National Endowment for the Humanities
", DC,-1
127,Data Scientist (All Levels),Employer Provided Salary:$84K - $147K,4.4,"Noblis
4.4","Reston, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,1,84.0,147.0,115.5,"Noblis
", VA,27
128,"Data Scientist II, Cardiology",$104K - $137K (Glassdoor est.),3.9,"UT Southwestern
3.9","Dallas, TX",10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,0,104.0,137.0,120.5,"UT Southwestern
", TX,80
129,Junior Data Scientist,Employer Provided Salary:$112K - $179K,3.6,"Peraton
3.6","Columbia, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,1,112.0,179.0,145.5,"Peraton
", MD,6
130,Healthcare Data Scientist - Analytics,$79K - $111K (Glassdoor est.),3.3,"University of Maryland Medical System
3.3","Linthicum Heights, MD",10000+ Employees,1984,Self-employed,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,0,79.0,111.0,95.0,"University of Maryland Medical System
", MD,39
131,Part-Time Data Scientist,Employer Provided Salary:$28.52 Per Hour,4.2,"ORAU
4.2","Research Triangle Park, NC",501 to 1000 Employees,1946,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$25 to $100 million (USD),1,1,28.52,28.52,28.52,"ORAU
", NC,77
132,Supervisory Statistician (Data Scientist) - Direct Hire,Employer Provided Salary:$132K - $172K,3.7,"US Office of Inspector General
3.7","Washington, DC",1001 to 5000 Employees,-1,Government,National Agencies,Government & Public Administration,Less than $1 million (USD),0,1,132.0,172.0,152.0,"US Office of Inspector General
", DC,-1
133,Statistician/Data Scientist,$112K - $153K (Glassdoor est.),4.1,"IFC Systems Corporation
4.1","Washington, DC",1001 to 5000 Employees,1956,Company - Private,Investment & Asset Management,Financial Services,$1 to $5 million (USD),0,0,112.0,153.0,132.5,"IFC Systems Corporation
", DC,67
134,Part-time Data Analyst,Employer Provided Salary:$40.00 - $42.00 Per Hour,4.1,"Advocates for Human Potential, Inc.
4.1",Remote,1 to 50 Employees,-1,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),1,1,40.0,42.0,41.0,"Advocates for Human Potential, Inc.
",remote,-1
135,Jr. Data Scientist,$75K - $109K (Glassdoor est.),4.2,"Yorktown Systems Group
4.2","Fort Eustis, VA",501 to 1000 Employees,-1,Company - Private,Business Consulting,Management & Consulting,$5 to $25 million (USD),0,0,75.0,109.0,92.0,"Yorktown Systems Group
", VA,-1
136,Data Scientist,Employer Provided Salary:$112K - $146K,4.2,"US Cybersecurity and Infrastructure Security Agency
4.2","Arlington, VA",Unknown,-1,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,1,112.0,146.0,129.0,"US Cybersecurity and Infrastructure Security Agency
", VA,-1
137,"Data Scientist, Mid",Employer Provided Salary:$73K - $166K,4.2,"Booz Allen Hamilton
4.2","Washington, DC",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),0,1,73.0,166.0,119.5,"Booz Allen Hamilton
", DC,109
138,"Data Scientist, Mid",Employer Provided Salary:$73K - $166K,4.2,"Booz Allen Hamilton
4.2","Washington, DC",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),0,1,73.0,166.0,119.5,"Booz Allen Hamilton
", DC,109
139,Associate Data Scientist,$82K - $108K (Glassdoor est.),3.2,"WALGREENS
3.2","Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD),0,0,82.0,108.0,95.0,"WALGREENS
", IL,122
140,DATA SCIENTIST,Employer Provided Salary:$112K - $146K,3.9,"US United States Army Medical Logistics Command
3.9","Fort Detrick, MD",5001 to 10000 Employees,-1,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,1,112.0,146.0,129.0,"US United States Army Medical Logistics Command
", MD,-1
141,Data Scientist,Employer Provided Salary:$64K - $85K,4.2,"University of Kansas
4.2","Lawrence, KS",10000+ Employees,-1,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),0,1,64.0,85.0,74.5,"University of Kansas
", KS,-1
142,Data Scientist - All Levels,$65K - $109K (Glassdoor est.),4.7,"Interclypse Inc
4.7","San Antonio, TX",51 to 200 Employees,2007,Company - Private,Software Development,Information Technology,$5 to $25 million (USD),0,0,65.0,109.0,87.0,"Interclypse Inc
", TX,16
143,"Data Scientist, Data Science",$96K - $126K (Glassdoor est.),3.7,"Cardinal Health
3.7","Dublin, OH",10000+ Employees,1971,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),0,0,96.0,126.0,111.0,"Cardinal Health
", OH,52
144,Jr Data Scientist,$78K - $109K (Glassdoor est.),4.3,"PacArctic LLC
4.3","Washington, DC",Unknown,-1,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable,0,0,78.0,109.0,93.5,"PacArctic LLC
", DC,-1
145,Junior Data Scientist,$87K - $128K (Glassdoor est.),4.2,"Logistics Management Institute
4.2","Washington, DC",1001 to 5000 Employees,1961,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,0,87.0,128.0,107.5,"Logistics Management Institute
", DC,62
146,Data Scientist,Employer Provided Salary:$40.00 - $50.00 Per Hour,5.0,"Aurora Technical Systems, LLC
5.0",Remote,1 to 50 Employees,-1,Company - Private,#N/A,#N/A,Unknown / Non-Applicable,1,1,40.0,50.0,45.0,"Aurora Technical Systems, LLC
",remote,-1
147,Data Scientist Position,$96K - $138K (Glassdoor est.),4.5,"Princeton University
4.5","Princeton, NJ",5001 to 10000 Employees,1746,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,0,0,96.0,138.0,117.0,"Princeton University
", NJ,277
148,Senior Data Scientist - AI & Analytics Products,$110K - $173K (Glassdoor est.),4.1,"Genmab
4.1","Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),0,0,110.0,173.0,141.5,"Genmab
", NJ,24
149,Data Scientist (Onsite),Employer Provided Salary:$26.20 - $51.39 Per Hour,3.9,"UCLA Health
3.9","Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,1,1,26.2,51.39,38.795,"UCLA Health
", CA,104
150,Junior Data Scientist,Employer Provided Salary:$55K - $60K,3.9,"Augray
3.9","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,1,55.0,60.0,57.5,"Augray
", WI,9
151,Associate Data Scientist,Employer Provided Salary:$65K - $131K,4.0,"Tencent
4.0","Palo Alto, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,1,65.0,131.0,98.0,"Tencent
", CA,25
152,Data Scientist Co-Op - Masters Degree - Fall 2023,Employer Provided Salary:$31.00 - $37.00 Per Hour,4.3,"Torc Robotics
4.3","Austin, TX",501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),1,1,31.0,37.0,34.0,"Torc Robotics
", TX,16
153,Data Scientist I,Employer Provided Salary:$95K,3.4,"VirginPulse
3.4",Remote,501 to 1000 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),0,1,95.0,95.0,95.0,"VirginPulse
",remote,19
154,Data Scientist (All Levels),Employer Provided Salary:$84K - $147K,4.4,"Noblis
4.4","Reston, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,1,84.0,147.0,115.5,"Noblis
", VA,27
155,Data Science Analyst - Platform - Remote,Employer Provided Salary:$95K - $134K,3.9,"Mayo Clinic
3.9","Rochester, MN",10000+ Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,1,95.0,134.0,114.5,"Mayo Clinic
", MN,-1
156,Data Scientist - 300269,$93K - $126K (Glassdoor est.),4.1,"Grainger
4.1","Lake Forest, IL",10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),0,0,93.0,126.0,109.5,"Grainger
", IL,96
157,Data Scientist,Employer Provided Salary:$61K - $147K,3.9,"PayPal
3.9","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,1,61.0,147.0,104.0,"PayPal
", CA,25
158,Data Scientist I/II (Lending Analytics & Credit Risk),$124K - $181K (Glassdoor est.),4.1,"Navy Federal Credit Union
4.1","Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,0,0,124.0,181.0,152.5,"Navy Federal Credit Union
", VA,90
159,Sr Data Scientist-AI/ML (remote),Employer Provided Salary:$110K - $159K,3.7,"MultiPlan Inc.
3.7",Remote,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,1,110.0,159.0,134.5,"MultiPlan Inc.
",remote,43
160,"Data Scientist II, Cardiology",$104K - $137K (Glassdoor est.),3.9,"UT Southwestern
3.9","Dallas, TX",10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,0,104.0,137.0,120.5,"UT Southwestern
", TX,80
161,Technical Associate I/Data Scientist,$85K - $122K (Glassdoor est.),4.3,"MIT
4.3","Cambridge, MA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,85.0,122.0,103.5,"MIT
", MA,162
162,Junior Data Scientist,$81K - $113K (Glassdoor est.),2.9,"Soothsayer Analytics
2.9","Livonia, MI",Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,81.0,113.0,97.0,"Soothsayer Analytics
", MI,-1
163,Supervisory Statistician (Data Scientist) - Direct Hire,Employer Provided Salary:$132K - $172K,3.7,"US Office of Inspector General
3.7","Washington, DC",1001 to 5000 Employees,-1,Government,National Agencies,Government & Public Administration,Less than $1 million (USD),0,1,132.0,172.0,152.0,"US Office of Inspector General
", DC,-1
164,Data Scientist I - Energy Applications,Employer Provided Salary:$136K,4.0,"Pacific Northwest National Laboratory
4.0",United States,5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),0,1,136.0,136.0,136.0,"Pacific Northwest National Laboratory
",remote,58
165,Data Scientist/Statistician,$119K - $172K (Glassdoor est.),4.0,"University of California San Francisco
4.0","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,$25 to $100 million (USD),0,0,119.0,172.0,145.5,"University of California San Francisco
", CA,159
166,Data Scientist,Employer Provided Salary:$79K - $111K,4.0,"Veeco
4.0","San Jose, CA",1001 to 5000 Employees,1945,Company - Public,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),0,1,79.0,111.0,95.0,"Veeco
", CA,78
167,Data Scientist Advisor,$91K - $126K (Glassdoor est.),4.0,"FedEx Services
4.0","Collierville, TN",10000+ Employees,2000,Company - Public,Taxi & Car Services,Transportation & Logistics,$1 to $5 million (USD),0,0,91.0,126.0,108.5,"FedEx Services
", TN,23
168,Sr. Data Scientist,Employer Provided Salary:$93K - $147K,3.6,"TARGET
3.6","Minneapolis, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),0,1,93.0,147.0,120.0,"TARGET
", MN,61
169,Data Scientist,$102K - $141K (Glassdoor est.),4.4,"OneMagnify
4.4","Detroit, MI",201 to 500 Employees,1967,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,0,0,102.0,141.0,121.5,"OneMagnify
", MI,56
170,Marketing Data Scientist,Employer Provided Salary:$153K - $169K,3.6,"Sephora USA
3.6","San Francisco, CA",10000+ Employees,1969,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD),0,1,153.0,169.0,161.0,"Sephora USA
", CA,54
171,Junior Data Scientist,Employer Provided Salary:$55K - $60K,3.9,"Augray
3.9","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,1,55.0,60.0,57.5,"Augray
", WI,9
172,Data Scientist Co-Op - Masters Degree - Fall 2023,Employer Provided Salary:$31.00 - $37.00 Per Hour,4.3,"Torc Robotics
4.3","Austin, TX",501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),1,1,31.0,37.0,34.0,"Torc Robotics
", TX,16
173,Associate Data Scientist,Employer Provided Salary:$65K - $131K,4.0,"Tencent
4.0","Palo Alto, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,1,65.0,131.0,98.0,"Tencent
", CA,25
174,Data Scientist - 300269,$93K - $126K (Glassdoor est.),4.1,"Grainger
4.1","Lake Forest, IL",10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),0,0,93.0,126.0,109.5,"Grainger
", IL,96
175,Data Scientist I,Employer Provided Salary:$95K,3.4,"VirginPulse
3.4",Remote,501 to 1000 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),0,1,95.0,95.0,95.0,"VirginPulse
",remote,19
176,Sr Data Scientist-AI/ML (remote),Employer Provided Salary:$110K - $159K,3.7,"MultiPlan Inc.
3.7",Remote,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,1,110.0,159.0,134.5,"MultiPlan Inc.
",remote,43
177,Supervisory Statistician (Data Scientist) - Direct Hire,Employer Provided Salary:$132K - $172K,3.7,"US Office of Inspector General
3.7","Washington, DC",1001 to 5000 Employees,-1,Government,National Agencies,Government & Public Administration,Less than $1 million (USD),0,1,132.0,172.0,152.0,"US Office of Inspector General
", DC,-1
178,Data Scientist (All Levels),Employer Provided Salary:$84K - $147K,4.4,"Noblis
4.4","Reston, VA",1001 to 5000 Employees,1996,Nonprofit Organization,Business Consulting,Management & Consulting,$100 to $500 million (USD),0,1,84.0,147.0,115.5,"Noblis
", VA,27
179,Data Scientist,Employer Provided Salary:$61K - $147K,3.9,"PayPal
3.9","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,1,61.0,147.0,104.0,"PayPal
", CA,25
180,Data Scientist I/II (Lending Analytics & Credit Risk),$124K - $181K (Glassdoor est.),4.1,"Navy Federal Credit Union
4.1","Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,0,0,124.0,181.0,152.5,"Navy Federal Credit Union
", VA,90
181,Technical Associate I/Data Scientist,$85K - $122K (Glassdoor est.),4.3,"MIT
4.3","Cambridge, MA",10000+ Employees,1861,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,85.0,122.0,103.5,"MIT
", MA,162
182,"Data Scientist II, Cardiology",$104K - $137K (Glassdoor est.),3.9,"UT Southwestern
3.9","Dallas, TX",10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Healthcare,$1 to $5 billion (USD),0,0,104.0,137.0,120.5,"UT Southwestern
", TX,80
183,Data Science Analyst - Platform - Remote,Employer Provided Salary:$95K - $134K,3.9,"Mayo Clinic
3.9","Rochester, MN",10000+ Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,1,95.0,134.0,114.5,"Mayo Clinic
", MN,-1
184,Data Scientist I - Energy Applications,Employer Provided Salary:$136K,4.0,"Pacific Northwest National Laboratory
4.0",United States,5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),0,1,136.0,136.0,136.0,"Pacific Northwest National Laboratory
",remote,58
185,Senior Product Data Scientist,$128K - $176K (Glassdoor est.),4.3,"Cash App
4.3","San Francisco, CA",1001 to 5000 Employees,2013,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,0,128.0,176.0,152.0,"Cash App
", CA,10
186,Sr. Data Scientist,Employer Provided Salary:$93K - $147K,3.6,"TARGET
3.6","Minneapolis, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),0,1,93.0,147.0,120.0,"TARGET
", MN,61
187,Data Scientist,Employer Provided Salary:$79K - $111K,4.0,"Veeco
4.0","San Jose, CA",1001 to 5000 Employees,1945,Company - Public,Machinery Manufacturing,Manufacturing,$500 million to $1 billion (USD),0,1,79.0,111.0,95.0,"Veeco
", CA,78
188,Senior Data Scientist - AI & Analytics Products,$110K - $173K (Glassdoor est.),4.1,"Genmab
4.1","Princeton, NJ",1001 to 5000 Employees,1999,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$1 to $5 billion (USD),0,0,110.0,173.0,141.5,"Genmab
", NJ,24
189,Junior Data Scientist,$81K - $113K (Glassdoor est.),2.9,"Soothsayer Analytics
2.9","Livonia, MI",Unknown,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,81.0,113.0,97.0,"Soothsayer Analytics
", MI,-1
190,Data Scientist,$102K - $141K (Glassdoor est.),4.4,"OneMagnify
4.4","Detroit, MI",201 to 500 Employees,1967,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,0,0,102.0,141.0,121.5,"OneMagnify
", MI,56
191,Junior Data Scientist,Employer Provided Salary:$55K - $60K,3.9,"Augray
3.9","Brookfield, WI",51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,1,55.0,60.0,57.5,"Augray
", WI,9
192,Data Scientist Co-Op - Masters Degree - Fall 2023,Employer Provided Salary:$31.00 - $37.00 Per Hour,4.3,"Torc Robotics
4.3","Austin, TX",501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),1,1,31.0,37.0,34.0,"Torc Robotics
", TX,16
